Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
0.9297382405038378,1.0282832278481011,1.2115653040877368,0.9796695042563845,0.945355741169367,1.1272981614708233,0.9598904324007043,1.052789742562356,0.9188146945402883,0.6783719074221868,0.9062151475210382,1.2930721066451223,1.0131030375223347
1.2297429860702374,1.4591543717199722,1.7740224012576145,1.3269954446425034,1.2550114690336094,1.6460707858428316,1.2983077528532074,1.449619301888658,1.1954022988505746,0.8221391778608221,1.1939202285014792,1.9355750782591137,1.408229124647035
1.4067527308838133,1.6937603426457704,2.122924555782115,1.5282623866015352,1.4059896866322887,1.9424287856071962,1.481050138176076,1.6502329192546585,1.3680938534041915,0.8897868471562785,1.324691232009799,2.3576612903225804,1.6414629134990755
1.5144497029503574,1.8640243304228392,2.389630640288471,1.6289918910801882,1.489938080495356,2.17754309056491,1.5624150650359154,1.786274134964634,1.4776357827476039,0.91869918699187,1.4291006379913562,2.634623217922607,1.8276299112801015
1.5880742318223307,2.0135094864408463,2.578646791210919,1.6940871472729087,1.5613419153501071,2.3636363636363638,1.6451486697965572,1.8868821292775666,1.5652705594619385,0.9615384615384615,1.4487740360158714,2.831442297863641,1.9087711819247577
1.660741806226241,2.0860320897726154,2.7238058551617876,1.7434052757793765,1.6176242236024847,2.4734517818629964,1.6921161030750074,1.9787053613492886,1.6556470956304097,0.9668901927912824,1.5020088595858656,2.987285570131181,2.0262103325029783
1.6550196354848454,2.1855141109137555,2.8116249879308683,1.855711828392189,1.6806672624366994,2.559728367115958,1.744421906693712,2.0610744580584357,1.7072814521176716,0.9719995836369313,1.5230185583922895,3.0804782477644927,2.1181556195965414
1.6985519069957167,2.293739967897271,2.8843641951594314,1.8639991916742447,1.6821780266460709,2.562289218191109,1.803346052245377,2.095436076726826,1.7483836777954427,0.9913134484563056,1.4963911761715971,3.186542505256834,2.1342866718802367
1.7211518961671062,2.375847071912613,3.012868005459154,1.9024688839012445,1.6687824581650315,2.612311455360783,1.8116713442369108,2.121452894438139,1.7651237890204523,0.9789038481925156,1.5244598450876479,3.3159326816486945,2.1969064017161566
1.7780040733197555,2.420305785949835,3.0568105354224744,1.946288165015828,1.6941630487216595,2.6896901980700862,1.7732884399551065,2.1273000375516333,1.7310534093308003,0.9937754883022109,1.5918958031837915,3.386466165413534,2.206757211808284
1.8074483323102108,2.457669572187156,3.1125878840412207,1.9683257918552037,1.6771393527691292,2.7488780089759284,1.805117552639033,2.131224260576563,1.7861849096705633,1.008855154965212,1.5506898620275944,3.3918676499900346,2.1948672369736695
1.8018311291963374,2.4838577850429093,3.1481122942884805,1.9872929903135088,1.683222232654211,2.75532342306147,1.8464998594321056,2.1708654829413403,1.8110287004192198,0.9928102532041263,1.58796992481203,3.522448157841756,2.1442580082806715
1.7260354450210516,2.5484908204543095,3.1634504052489385,2.0566379218567015,1.7037176117161095,2.7885117493472587,1.9189690520355367,2.175991209596191,1.845904473741085,0.9974495217853346,1.5890734008057383,3.5780777755389885,2.1004428123987475
1.7420168882849658,2.5595727198027944,3.2275489534098583,2.0314070351758793,1.6872536136662286,2.7762898779046874,1.9534251892101688,2.22992768403486,1.8682737839001293,1.019214346712212,1.6355537558210165,3.624808419331767,2.168926428095132
1.787120913745569,2.647425249169435,3.2935420743639923,2.0556676936152134,1.715338814856819,2.8108374384236448,1.942176544039958,2.2245999255675475,1.9114754098360656,0.9964598084131613,1.653180374884769,3.70320717747757,2.1209817549956558
1.7795400475812848,2.6785185185185183,3.338129496402878,2.078753421773005,1.7746967071057191,2.82909520993495,1.963058665901043,2.2189349112426036,1.9165591397849462,0.961608040201005,1.6618278470660397,3.7645111226073467,2.199068942584793
1.8248101265822785,2.6663870832459637,3.3761217323449086,2.1043645288656494,1.8098611775969362,2.8643108160874666,1.9776579352850543,2.2169845928099776,1.894523758789687,0.9426675908505793,1.7110970730680142,3.861466458658347,2.2741312741312742
1.8305084745762712,2.6309830159547096,3.396160558464223,1.9970966403981751,1.9000099393698437,2.9117386598445343,1.9836522742571403,2.1980784771482447,1.887555274794694,0.9132082806881135,1.7386689311113468,3.9260979729729732,2.277542615261412
1.8164,2.6529202428302283,3.436267436267436,1.9772610877803956,1.9152997315836566,2.8717047451669595,1.9636020744931637,2.2231889204545454,1.862083376867621,0.8884051112162803,1.7995824634655533,3.944636678200692,2.295591068797461
1.7695354003670434,2.6650036378754804,3.4997064004697593,1.9896331738437,1.97535892475308,2.9063172305886957,1.9247787610619467,2.2570532915360504,1.9355538678528805,0.9062470376338988,1.8452645620275676,4.019908927247697,2.318059299191374
1.8068048494329294,2.6271289537712894,3.521649484536083,2.061218243036425,1.9942321557317955,2.9258054980786286,1.9472266096813156,2.3096960926193923,1.9156316916488225,0.8981429375351715,1.8464106844741237,4.085689985115883,2.327039784221173
1.8015476540307571,2.617930754391309,3.5955191038207643,2.1387295295712945,1.9616703651402059,2.9292889501674217,1.9535491092248858,2.3412400402967304,1.894962947051874,0.8969652246102758,1.865361077111383,4.165428109854604,2.324306252089602
1.8303101228788763,2.643409275834011,3.548322882452473,2.1564761405348714,1.9161004431314623,2.9448022990783866,1.973936516801638,2.302249088807894,1.8911608785026508,0.9575944487278333,1.869222343921139,4.1923413566739605,2.326670347874103
1.856301531213192,2.6401944894651543,3.5725190839694654,2.1197494094690357,1.9717463180042079,2.9570747217806046,2.010961449140734,2.3458485686257022,1.8843609985065077,0.9372321173445088,1.904932735426009,4.251020183081504,2.2894910773298083
1.8571569692778818,2.6724137931034484,3.6176232821341956,2.150757886112249,1.9419911682055404,2.9484761242926636,1.984310106137517,2.379891255905161,1.8555404130411994,0.9542895314438402,1.9064911484339537,4.325628366247756,2.2462653778558876
1.8712412501232376,2.682083249547557,3.639737771053959,2.1383077398742656,1.974418370430053,2.998804780876494,1.9883624272651705,2.408440629470672,1.8199463142680157,0.9549909601294129,1.9134582623509366,4.2404177313631815,2.2258344169917645
1.820991253644315,2.713733468972533,3.622777945164207,2.097609561752988,1.9611670020120722,3.0096057634580746,1.987392231389636,2.4567788898999092,1.9217697980121835,0.9735327963176065,1.9025213867627198,4.215679788289778,2.2847069193477303
1.811160455686426,2.6709418837675356,3.653764954257565,2.1120386201347685,1.9889635798133845,3.0423104109865697,2.0403793783453845,2.5196908354803096,1.9084828538061362,1.009208832557679,1.9281818181818182,4.164988632672946,2.301369863013699
1.7972456006120887,2.652579365079365,3.599959955951547,2.0945085555113407,1.9808268424206112,3.0647760889523616,2.008222181618856,2.5311985361390668,1.9300341296928325,0.9749782629697616,1.9488,4.1809719666630585,2.271772428884026
1.8104201028427287,2.637103894829785,3.601440576230492,2.111738604275918,1.9888512840931716,3.0533265617064504,2.030300281230155,2.5968741329880705,1.9022203245089666,1.0003012955709552,1.9290844829551932,4.237868906819941,2.3059185242121445
1.768072003789673,2.6093765293138884,3.6022209002577825,2.143650956987034,1.9961766777341785,2.996397838703222,2.047063115651222,2.5814296241709656,1.8974852862493308,0.9933326699174047,1.938826751883132,4.193071491615181,2.269439029672948
1.8006676204101097,2.6167487684729065,3.6250498603909054,2.1274599775670437,1.9642431466030987,3.0161722393094554,2.096807033780657,2.6194956718103124,1.9329090712975945,0.982725527831094,1.928587673413691,4.253389642142698,2.258181430551114
1.7898516488708307,2.6202344596591467,3.629114049915482,2.1485179407176287,1.9660135945621755,3.053427519649786,2.1010212531051615,2.5822362321527907,1.9382742417770187,0.9742164286398928,1.9808478337031417,4.21944475168676,2.233109189881524
1.8759074629755104,2.643687374749499,3.6182489767395425,2.187155199333819,2.0200060624431644,3.034565195736627,2.0832727272727274,2.615384615384615,1.9359948624638765,0.9986383971989887,1.9205101924609955,4.184039625756742,2.2848471710383698
1.8617372441761761,2.642036944583125,3.627480011844832,2.227272727272727,2.019298421951955,3.010452961672474,2.0847288856703177,2.5535648319172517,1.995447647951442,0.9976730657358931,1.8657376686573768,4.1332323996972,2.3312748125275693
1.8871245456284675,2.6809283551967713,3.651967569705359,2.132443424757535,2.0200400801603204,3.040516024994961,2.130138248847926,2.5528172240036646,1.9639850825785827,1.0015673981191222,1.9042407660738714,4.099394987035437,2.3639623487225454
1.9370202716000786,2.698034423057338,3.658937772493064,2.1411323896752705,2.0635636661882306,3.0343718592964826,2.18353901827967,2.599740452354468,2.0008516074089844,1.0422535211267607,1.8502064962607434,4.188986784140969,2.280629408572979
1.9477575160177423,2.7065083913221453,3.6609155280741996,2.136986301369863,2.0225806451612907,3.0781473168741074,2.2384593599546867,2.587562280863628,1.9669243986254294,1.038793969849246,1.819706498951782,4.1633381680241,2.378475740177868
1.8966111430212524,2.6901945057148584,3.7387515200648567,2.1528321318228634,1.9931856899488927,3.0810478919361444,2.2690909090909095,2.5999999999999996,1.969610843900306,1.0317043618739903,1.8336505093473638,4.1637010676156585,2.345734016484741
1.9029567854435177,2.692536131459117,3.7303598580841353,2.1559820334830544,1.9406370180455574,3.034144346759354,2.2474050090467577,2.60804208944006,2.025203524032564,0.9968847352024922,1.7935627081021088,4.177357641233401,2.357705286839145
1.9477061584139455,2.683810637054354,3.714971497149715,2.1025641025641026,1.9178959627329193,2.9831779489258206,2.2279245283018865,2.6733987305251006,2.047915018646174,1.0489152681129759,1.8283783783783782,4.2253680634201585,2.3883495145631066
1.94467333725721,2.723832052040213,3.7193403298350822,2.137931034482759,1.8518937252685135,2.9917338503928974,2.2998058252427183,2.670241286863271,1.9884418759724383,1.040617384240455,1.852449698760941,4.218173536779777,2.4379947229551453
2.0093859211183225,2.7506416584402764,3.7037184727345225,2.15929203539823,1.8895682078716087,3.015827040446881,2.23739837398374,2.5979420371943736,2.022277227722772,1.047906686107061,1.8880018783752053,4.250574712643679,2.4098416676159014
1.9922886801779536,2.760340391846428,3.807302853636085,2.122200830884588,1.911039146585389,3.039518722124261,2.240740740740741,2.5803503427265806,2.0287605569504676,1.0971867007672633,1.923324973127911,4.193780982424515,2.408631459398069
1.9674050941739045,2.770880921640679,3.792263173926287,2.2040433513964146,1.9497400346620448,3.047091412742382,2.31042654028436,2.6219453761379974,2.056312024001846,1.1290148156158755,1.9596330275229354,4.162374020156775,2.4253312373680664
1.9825644039572925,2.847728407388917,3.7829864619114972,2.181324420304992,1.9615827890895121,3.08183879612451,2.3299172250689795,2.6469049694856146,2.054854762180303,1.114558979808714,1.942071674030437,4.241653418124007,2.4021423789332736
1.9900029403116728,2.8590996072111996,3.7139991977537106,2.1664407133173427,1.9698696281989374,3.0861298701298696,2.3804642749472413,2.5811735234608344,2.011152839421873,1.151762682717111,1.9283806749210977,4.299735662567521,2.3828577924292373
2.032696474295844,2.803196211897011,3.6510915736441762,2.144142281046428,1.9675174013921113,3.063615368465253,2.4097165991902836,2.547384382107657,1.9903098591549298,1.1625763583753081,1.9478603049680276,4.34248788368336,2.4246959775491117
1.9971025690554374,2.754981258630894,3.6059573639637885,2.097314758732081,1.9489960985821675,3.100938719544352,2.3305472636815923,2.493292626514941,2.00293586269196,1.1804689180468921,1.9113264688067837,4.309645245381389,2.4926061753223707
1.9685039370078745,2.7954635893354554,3.6352975666959835,2.086423415405913,1.9717765319930407,3.1506120276742955,2.3230632936312627,2.4802601021830006,2.0293510662692045,1.1634112498665812,1.879015638259183,4.301920700887341,2.48109640831758
2.0021377903022057,2.776605187888352,3.679116980388292,2.0918950897258926,1.9140788721661268,3.211212938005391,2.2642497091896083,2.5038267687138323,2.0176080493940085,1.174914675767918,1.8854432688799705,4.347578995226188,2.434538434538435
1.9787296321592351,2.863063795205201,3.6699902248289344,2.08367707719505,1.9069811861331294,3.2264854198640656,2.247444758103767,2.512646281615704,2.020909090909091,1.1800636267232238,1.8770731707317077,4.347003154574133,2.4595834804094605
1.9686593151479979,2.8572881700742547,3.6809155825100266,2.0774180967238687,1.8798226582397888,3.2079099748716264,2.2646021168169344,2.4930575233777272,2.0035790180069344,1.1360263808738662,1.901521712235556,4.425207598680468,2.4916384048649283
1.9160625715375812,2.9067858256261045,3.6594082609120204,2.040092521202776,1.8669673055242388,3.204747774480712,2.263819830359754,2.4531631312183215,1.9327296248382924,1.157303370786517,1.9204741911583108,4.422915484968803,2.4827586206896552
1.903403688914242,2.8253807106598985,3.6825053995680346,2.002478078536028,1.830621301775148,3.179537521815009,2.2887700534759357,2.425421530479896,1.9277369104283861,1.1148272017837233,1.9464241828459081,4.3744414655942805,2.522276345491268
1.903267973856209,2.746746746746746,3.7780686738495617,2.0121703853955375,1.9038624988195294,3.2243547319655854,2.26251795117281,2.424509264355164,1.9675174013921113,1.1496805279145281,1.9799398194583748,4.409249858996051,2.4647079480276246
1.915336962643139,2.7315569695764563,3.7926319012144103,2.0202253683906384,1.911569086651054,3.2244184776673586,2.3096960926193923,2.4153424657534246,1.985707905314872,1.1280290791599354,1.9742701632855018,4.4265616207090615,2.4598607888631094
1.9162755772479823,2.6921269095182137,3.8383671786413767,2.0143116114874533,1.9164554585562752,3.2123855211513304,2.2616558349816334,2.4182134040413272,1.961508510401602,1.1526757064486077,1.9413048750909532,4.371762090050027,2.4898480102100007
1.9155844155844157,2.694793884265531,3.810341303903536,2.0095675468809797,1.8730158730158732,3.31149373881932,2.2885258431260147,2.442951785057048,1.8671689989235738,1.089789635710621,1.9108730062096677,4.369409954950006,2.5488668555240794
1.8788674292143255,2.7608092026973425,3.765084473049075,1.994840928632846,1.8254603682946353,3.2915047196002214,2.3329142083373635,2.4136325542415493,1.8812412756362076,1.121378880697747,1.8945868945868947,4.347249834327369,2.5588752196836557
1.915082742316785,2.840068527663005,3.736432561851556,2.012419949543955,1.8364656631335177,3.3027848663042274,2.3321805955811725,2.382551560503742,1.9212598425196847,1.1040723981900453,1.8476168114580889,4.339920948616601,2.5270095327762743
1.898259960064657,2.8445517657712043,3.65097006922102,2.011587485515643,1.8569237708615245,3.3846153846153846,2.308884688090737,2.3998539346357495,1.9436159791009036,1.1161924469736164,1.8472452116339564,4.353494476648803,2.527014218009479
1.90416068866571,2.8369168356997974,3.707345971563981,1.9896013864818018,1.846610321884553,3.4865713289152427,2.35183752417795,2.373913043478261,1.9463190184049077,1.116337939035967,1.8636847710330138,4.327410617551463,2.502628811777077
1.8794625719769673,2.7881694644284574,3.6168761570690826,2.039588281868567,1.856733524355301,3.468272348309403,2.302114225581173,2.3943611060907286,1.9106559163216386,1.1237806199869933,1.8383382789317506,4.390984057174272,2.498001410768869
1.8557383248251087,2.803410230692076,3.5363020329138433,2.0383050511064797,1.8361908146042463,3.4933987615375632,2.3379496056934026,2.394920407798247,1.927300680869756,1.1242931588867946,1.8445212829378799,4.414823008849557,2.5117813383600387
1.859154929577465,2.7879879879879876,3.5210205856770083,2.0912209889001008,1.8813194693438506,3.57220515244623,2.3102524866105583,2.4193115780062584,2.0049504950495045,1.1206434316353886,1.8569195623421908,4.481344537815126,2.5384615384615388
1.8487155090390104,2.812214044161528,3.4903883121876205,2.1246061591625165,1.895710528702276,3.6068907764086613,2.3602569093032306,2.419594171806561,2.0119665838789795,1.1364803035375515,1.8919182083739048,4.5495699411498425,2.496795632565868
1.9130772215754754,2.816845842785284,3.3834021779947436,2.120884721231271,1.8684020245842372,3.6111978853778686,2.3534416086620262,2.4177777777777774,2.0481460353679406,1.1384513712963984,1.9210910862152948,4.51047619047619,2.4879027499114836
1.8754399687133354,2.783396667641041,3.358292774241857,2.0803318494536627,1.8578352180936992,3.531400399107876,2.2977734753146173,2.431987247608926,2.004052684903749,1.180948091431145,1.9285453882610277,4.517260641269131,2.472710126134622
1.8814989209338828,2.7749446743000092,3.40693413511228,2.086606243705942,1.8837528604118996,3.5274815422477444,2.3010731895968286,2.4348900856360913,2.0458956501883776,1.1934941110487942,1.9074029418857006,4.579736483416629,2.544535387578238
1.866965329178029,2.752565564424173,3.3803260466839564,2.0662318113396894,1.9182087342709102,3.572957084068196,2.2589064583730236,2.4246660178713615,2.0850965429529422,1.1852018948793144,1.8558813140233137,4.550560525421809,2.5369386769676487
1.871209933583598,2.7355418304323416,3.351882160392799,2.086317722681359,1.910670902635022,3.5855558177956097,2.2478583666476295,2.4393926094970593,2.119610570236439,1.1807255981129954,1.829797155514106,4.590163934426229,2.56858162135564
1.9163830821584835,2.7575643676000747,3.396897810218979,2.091184183982247,1.909470364530192,3.483367744895619,2.2037735849056603,2.4436222692036647,2.1856287425149703,1.199726089933805,1.764555490993608,4.66388888888889,2.602946638603442
1.9420684292379475,2.748119951722217,3.381848215105075,2.0770873588935217,1.8628237869390734,3.3978737842117166,2.1838345864661655,2.424092990489609,2.2102854389979525,1.2317430547415311,1.8076335877862593,4.722487481076045,2.598431079566679
1.9428907859876363,2.7710393730173535,3.382830626450115,2.097051970418397,1.8837209302325584,3.442173764128325,2.2164651698330458,2.4202080761770413,2.184813753581662,1.2362637362637363,1.83453237410072,4.740524781341109,2.5893958076448826
1.9408702485021117,2.7861217619003087,3.367177404467417,2.076502732240437,1.8478976234003657,3.4770673681802586,2.159090909090909,2.4201266713581986,2.1655480984340043,1.2867132867132864,1.8373020669648255,4.765386395187412,2.535492511871423
