Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085752809771358e-173,0.0,0.0,0.0
9.066336981261466e-280,0.0,0.0,0.0,1.4090572374064668e-280,0.0,1.0782992063500384e-305,0.0,6.242626244169882e-245,3.299132650228588e-69,9.31602581992609e-232,0.0,0.0
7.063276751053133e-149,0.0,0.0,3.1766780122367715e-185,1.8729702905155814e-152,0.0,1.9079730034570572e-168,2.960910563180856e-254,2.432823429648474e-134,4.224408019200838e-35,3.0365585304365647e-120,0.0,9.686944015389147e-225
4.632752531564604e-90,1.8867814051717873e-232,0.0,4.212339369826797e-113,3.636278241445943e-92,6.025527345422764e-269,2.9309178011709957e-106,4.9284113933456265e-157,8.936528890766034e-83,1.3130244253037067e-19,4.757818715048724e-72,0.0,4.088184792020099e-140
1.0126728580434151e-56,2.6846107327724536e-180,1.3160879090336296e-241,1.158638006175555e-81,7.63149854759068e-59,6.69837642499016e-206,6.017073540041809e-71,5.174670589836692e-120,3.6722436770891894e-54,3.4795909659206926e-12,1.9100044311312652e-46,0.0,1.2370728779232045e-92
1.089542622695173e-38,1.060955690494338e-119,3.516501136180054e-179,1.0264298495166782e-58,1.0488660183536229e-40,6.357543663166679e-156,2.870217301447321e-56,4.752517936402865e-78,2.4630861165974524e-36,1.0940281672996869e-07,2.5013887091168702e-33,1.925221738010485e-237,4.100484088306028e-64
3.896481354850811e-28,6.942121697640683e-89,1.5182256892282366e-138,6.972072474160882e-48,1.0759712132764915e-29,1.6340453490622647e-128,3.3114261439497964e-38,3.023130910593665e-67,1.429831855566727e-26,1.4953158208268376e-05,2.478768617776757e-23,3.790772683491449e-180,4.986497463040493e-51
3.773174653651611e-20,3.4870979740198124e-75,2.447855628762194e-105,1.094034092747962e-30,2.7236873688268886e-26,4.499190243153237e-112,1.4630615194368726e-33,2.15402388204155e-53,6.589086293217192e-25,0.0004327863389773392,1.0931558839933184e-16,3.373638582288424e-139,1.8504366301867124e-42
1.0477275456148652e-15,4.505088332550836e-67,1.2907299721491668e-93,1.7616007925352002e-24,5.2334776662847486e-20,1.181342700961424e-91,7.384284824511562e-23,9.966853892397616e-45,1.5726509582453325e-20,0.004678180055219316,8.388604042676721e-13,2.8108614648888864e-123,5.0215354944705685e-33
2.032504948844976e-12,5.809049724526958e-55,2.714124414019714e-81,1.0380593957182566e-18,7.863104733547645e-18,3.05098321281636e-71,8.810486800190654e-19,6.088944182296913e-36,2.633844316281296e-15,0.02168322919982254,5.918432960326367e-14,8.518418542330702e-98,1.737550451986329e-26
1.661010942829158e-14,2.6727739602090804e-43,8.215123161962829e-66,1.7705163570976395e-14,7.901970216597671e-13,5.123254522443023e-56,1.4196738105594896e-16,5.333507661388294e-29,1.3189207725920388e-14,0.0502637413264847,3.355807794669512e-10,2.290083200827422e-81,6.566015065363602e-19
1.0010577390961717e-09,9.004698656959465e-36,4.4638276076344217e-51,1.76764102592052e-14,2.558151100598847e-12,1.2852284538383286e-50,7.740627194791994e-13,6.800144600165503e-21,1.226913062053881e-10,0.13471442648408716,2.060201200598529e-09,1.359378953603248e-66,5.381697601807219e-15
3.0868494723019537e-07,4.099273990276909e-29,2.7548619979533334e-43,2.0314466920519255e-12,7.384392742172179e-12,2.994406547239625e-44,6.656108534372713e-13,6.951285185865962e-17,1.5470679637028202e-09,0.2296190536673003,3.7997262804845625e-07,1.0105447605162571e-59,3.084817587659422e-15
2.819908844898704e-06,2.003664396337502e-27,3.0548230106992168e-37,6.396177698738582e-11,2.8573389467815056e-07,1.4754760977010881e-34,7.930351919008303e-09,1.3960541104428683e-13,1.632219050293485e-06,0.12018348688098335,2.5294049355661383e-06,1.159092429444048e-53,2.064825385112594e-12
