,Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0077051047531269e-116,0.0,0.0,0.0
2,1.5673279197427877e-190,0.0,0.0,2.635099602749217e-215,1.3178370681030313e-193,0.0,4.993564487104882e-209,3.778303817861067e-288,2.433440861579197e-153,2.5171089749346815e-44,1.1096184915780707e-155,0.0,5.316559760135699e-267
3,3.890562490076605e-102,1.877067947421863e-208,0.0,2.1359432093767586e-119,3.734696396027786e-105,1.9008542961886922e-255,7.802860234476284e-114,2.900483041249094e-166,1.2832962477013995e-82,3.4926318718170436e-21,2.801490284388069e-83,0.0,2.099975115127229e-148
4,1.9890593762432295e-61,3.053981616576938e-153,1.3675608256695023e-237,4.371308339422152e-73,2.90661192256592e-65,1.2155146917755798e-184,2.6143791616627993e-70,3.7466142394821354e-105,1.1162645122836148e-49,2.5798034090505534e-12,5.976990614897401e-49,6.432006581123622e-306,3.5057860634705734e-93
5,2.2254861273644352e-42,9.219079075725241e-114,5.515494438439217e-163,5.061868316683367e-48,5.432660481296788e-42,1.4817715875678085e-140,1.417942937267053e-46,2.6982527157696104e-80,9.77878542738014e-35,3.752684540504096e-08,2.1340781701583264e-35,1.1519117988167276e-212,3.0568954513865664e-60
6,3.3561749084951034e-28,9.965146531407323e-89,1.0265594117933728e-117,1.609988435278159e-36,1.2603698165041423e-28,3.2857080555600276e-107,2.6007544516959335e-33,1.0007918486488123e-54,1.5263251134767667e-22,4.2498581294945615e-05,4.539890322682723e-21,8.018682289353543e-158,2.440936680620638e-47
7,3.515569433265384e-23,6.952653871526497e-65,2.792826915381356e-92,1.41092122233689e-24,6.623861567134676e-21,1.2236736765442414e-91,3.2319629131053717e-24,5.101886277536169e-44,2.0305406869653424e-18,0.001109830897059957,5.614697702258677e-17,3.24069312002381e-122,2.4020287863865153e-34
8,1.9856659384435314e-15,2.095852050373631e-45,1.0878602978932739e-77,7.323634600765975e-18,9.038372073215705e-15,1.1573485035182796e-69,7.867413524675679e-19,4.000823950164201e-32,3.9187582426232797e-16,0.002697458794311319,1.3917193524029884e-11,6.512568272272142e-97,4.241793086544703e-28
9,8.59808594212261e-12,2.3884904910902994e-41,3.853527700845279e-64,1.3488989013954724e-14,8.13676719355906e-13,4.931349983156353e-49,7.513125305885425e-18,1.4067915497295437e-22,9.487748556625767e-13,0.001196636154275107,7.670035916501289e-09,4.009306267880681e-80,1.9116670319089841e-22
